"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2025","23,441.02","23,402.29","23,662.22","23,372.79","","0.17%"
"11/13/2025","23,402.29","23,286.68","23,417.94","23,263.45","","0.50%"
"11/12/2025","23,286.68","23,102.33","23,287.61","23,101.86","","0.80%"
"11/11/2025","23,102.33","22,785.05","23,136.51","22,785.05","","1.39%"
"11/10/2025","22,785.05","22,865.87","22,902.37","22,747.00","","-0.35%"
"11/07/2025","22,865.87","22,886.80","22,928.45","22,802.38","","-0.09%"
"11/06/2025","22,886.80","22,700.59","22,886.80","22,664.49","","0.82%"
"11/05/2025","22,700.59","22,647.15","22,743.69","22,636.64","","0.24%"
"11/04/2025","22,647.15","22,642.28","22,753.09","22,620.46","","0.02%"
"11/03/2025","22,642.28","22,516.79","22,650.14","22,509.00","","0.56%"
"10/31/2025","22,516.79","22,487.97","22,722.91","22,455.73","","0.13%"
"10/30/2025","22,487.97","22,610.69","22,623.96","22,261.57","","-0.54%"
"10/29/2025","22,610.69","22,852.54","22,888.02","22,447.35","","-1.06%"
"10/28/2025","22,852.54","22,621.53","22,852.54","22,589.91","","1.02%"
"10/27/2025","22,621.53","22,544.20","22,652.18","22,474.74","","0.34%"
"10/24/2025","22,544.20","22,314.17","22,558.50","22,309.71","","1.03%"
"10/23/2025","22,314.17","22,139.63","22,440.50","22,137.94","","0.79%"
"10/22/2025","22,139.63","21,993.37","22,187.16","21,993.37","","0.67%"
"10/21/2025","21,993.37","21,810.89","22,001.61","21,810.39","","0.84%"
"10/20/2025","21,810.89","21,777.39","21,894.64","21,772.70","","0.15%"
"10/17/2025","21,777.39","21,743.18","21,833.73","21,735.91","","0.16%"
"10/16/2025","21,743.18","21,648.49","21,778.87","21,632.14","","0.44%"
"10/15/2025","21,648.49","21,639.50","21,692.76","21,611.41","","0.04%"
"10/14/2025","21,639.50","21,644.87","21,676.00","21,598.03","","-0.02%"
"10/13/2025","21,644.87","21,629.27","21,666.19","21,539.67","","0.07%"
"10/10/2025","21,629.27","21,619.44","21,676.73","21,601.92","","0.05%"
"10/09/2025","21,619.44","21,609.60","21,690.63","21,599.67","","0.05%"
"10/08/2025","21,609.60","21,524.96","21,614.69","21,476.34","","0.39%"
"10/07/2025","21,524.96","21,536.65","21,558.29","21,433.87","","-0.05%"
